Format Version,1.23,Take Name,Take 2024-01-17 05.22.17 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-17 05.22.18.071 PM,Capture Start Frame,13450254,Total Frames in Take,7420,Total Exported Frames,7420,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-1.051990,0.354183,-0.373809,-0.935547,0.355111,-0.403353,-0.874245,0.355556,-0.174491,-0.820750,0.354649,-0.433984,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665654,0.341288,-0.242404,0.696040,0.337912,-0.168242,0.725887,0.334992,-0.094329,0.756837,0.331900,-0.020447,0.932260,0.349484,-0.222012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,-1.050275,0.355037,-0.371204,-0.933884,0.356011,-0.401828,-0.873557,0.355479,-0.173349,-0.819320,0.354097,-0.432678,0.393681,0.330031,1.024290,0.477319,0.329605,0.969685,0.665462,0.340814,-0.242403,0.696002,0.337846,-0.168301,0.725887,0.334992,-0.094329,0.756837,0.331900,-0.020447,0.932417,0.349630,-0.222129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,-1.048553,0.354921,-0.370697,-0.932938,0.355528,-0.400450,-0.872357,0.355391,-0.171979,-0.818191,0.355548,-0.431229,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665692,0.341170,-0.242346,0.696002,0.337846,-0.168301,0.725887,0.334992,-0.094329,0.756837,0.331900,-0.020447,0.932382,0.349649,-0.222093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,-1.048086,0.354820,-0.370220,-0.932689,0.354980,-0.399112,-0.871099,0.355858,-0.169926,-0.817206,0.355037,-0.430267,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665450,0.341121,-0.242475,0.696046,0.337915,-0.168187,0.725887,0.334992,-0.094329,0.756837,0.331900,-0.020447,0.932121,0.348954,-0.222219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,-1.047886,0.354646,-0.369149,-0.931298,0.355300,-0.398265,-0.869522,0.356500,-0.167293,-0.816176,0.355357,-0.429159,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665692,0.341170,-0.242346,0.696040,0.337912,-0.168242,0.725887,0.334992,-0.094329,0.756520,0.332079,-0.020806,0.932382,0.349649,-0.222093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,-1.046100,0.355283,-0.365573,-0.930346,0.355429,-0.396997,-0.868495,0.356359,-0.165962,-0.816500,0.355485,-0.429568,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665566,0.341084,-0.242202,0.696046,0.337915,-0.168187,0.725887,0.334992,-0.094329,0.756520,0.332079,-0.020806,0.932146,0.348940,-0.222243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,-1.044954,0.355514,-0.364352,-0.930048,0.355462,-0.394898,-0.867957,0.355008,-0.166546,-0.814735,0.355625,-0.426506,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665685,0.341176,-0.242295,0.696130,0.337898,-0.168140,0.725887,0.334992,-0.094329,0.756555,0.332057,-0.020807,0.932036,0.348994,-0.222231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,-1.044407,0.355392,-0.363349,-0.929428,0.354271,-0.395548,-0.867161,0.355603,-0.165491,-0.813860,0.354280,-0.425230,0.393621,0.329792,1.024362,0.477194,0.329666,0.969686,0.665594,0.341209,-0.242287,0.696064,0.337918,-0.168076,0.725771,0.334815,-0.094234,0.756555,0.332057,-0.020807,0.932022,0.348822,-0.222361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,-1.043874,0.355195,-0.361257,-0.928805,0.354998,-0.392791,-0.865288,0.356767,-0.162342,-0.813222,0.353839,-0.424861,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665660,0.341054,-0.242214,0.696048,0.337921,-0.168133,0.725771,0.334815,-0.094234,0.757077,0.331806,-0.020640,0.931970,0.348916,-0.222175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,-1.043120,0.354103,-0.362128,-0.927482,0.355202,-0.391881,-0.864422,0.356257,-0.160804,-0.811921,0.354269,-0.422549,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665594,0.341209,-0.242287,0.696064,0.337918,-0.168076,0.725771,0.334815,-0.094234,0.756555,0.332057,-0.020807,0.932036,0.348994,-0.222231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.160000,-1.041799,0.355098,-0.359543,-0.925983,0.355417,-0.390770,-0.863324,0.354071,-0.159922,-0.810789,0.354666,-0.421725,0.393681,0.330031,1.024290,0.476734,0.328989,0.969248,0.665561,0.341223,-0.242159,0.696048,0.337921,-0.168133,0.725771,0.334815,-0.094234,0.756555,0.332057,-0.020807,0.932260,0.349484,-0.222012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
