Format Version,1.23,Take Name,Take 2024-01-17 05.46.02 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-17 05.46.02.203 PM,Capture Start Frame,13592676,Total Frames in Take,6090,Total Exported Frames,6090,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.375062,0.364510,-0.914902,-1.330475,0.364040,-0.853640,-1.280729,0.363067,-0.787148,-0.761158,0.324643,0.749039,-0.702578,0.324911,0.756095,-0.669293,0.330838,0.997929,-0.643066,0.326065,0.763398,-0.584648,0.325501,0.766257,-0.523824,0.326748,0.776442,-0.245521,0.375034,-0.890208,-0.021626,0.368783,-0.789663,-0.000870,0.368499,-0.886965,0.744119,0.336145,0.171447,0.805725,0.335113,0.274257,0.865527,0.329160,0.375137,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.375062,0.364510,-0.914902,-1.330473,0.364178,-0.853700,-1.280729,0.363067,-0.787148,-0.761054,0.324791,0.749020,-0.702793,0.324697,0.756263,-0.669293,0.330838,0.997929,-0.643066,0.326065,0.763398,-0.584648,0.325501,0.766257,-0.523824,0.326748,0.776442,-0.246504,0.374705,-0.890343,-0.023716,0.368065,-0.789465,-0.001863,0.368704,-0.886620,0.744119,0.336145,0.171447,0.805618,0.335037,0.274171,0.865527,0.329160,0.375137,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,-1.544076,0.369723,-0.740056,-1.424315,0.363017,-0.979614,-1.377469,0.364144,-0.917600,-1.330470,0.364206,-0.853599,-1.280729,0.363067,-0.787148,-0.760967,0.324819,0.748919,-0.702793,0.324697,0.756263,-0.669524,0.331151,0.997994,-0.643411,0.325981,0.763340,-0.584386,0.325576,0.766212,-0.523805,0.326782,0.776529,-0.247760,0.374498,-0.887491,-0.024331,0.368548,-0.789476,-0.003003,0.369136,-0.885933,0.744070,0.336181,0.171418,0.805809,0.335261,0.274380,0.865578,0.329468,0.375918,1.008144,0.337210,0.151625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,-1.544076,0.369723,-0.740056,-1.424315,0.363017,-0.979614,-1.375062,0.364510,-0.914902,-1.330385,0.364020,-0.853482,-1.280729,0.363067,-0.787148,-0.761158,0.324643,0.749039,-0.702822,0.324788,0.756244,-0.669524,0.331151,0.997994,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.523982,0.326534,0.776594,-0.248707,0.374607,-0.887587,-0.026908,0.368055,-0.791115,-0.004610,0.369054,-0.885601,0.744042,0.336207,0.171438,0.805809,0.335261,0.274380,0.865457,0.329196,0.375105,1.008456,0.337743,0.151850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,-1.544076,0.369723,-0.740056,-1.422434,0.364095,-0.978401,-1.375062,0.364510,-0.914902,-1.330385,0.364020,-0.853482,-1.280729,0.363067,-0.787148,-0.761250,0.324612,0.749148,-0.701676,0.325382,0.755145,-0.669586,0.331109,0.997984,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.524060,0.326602,0.776604,-0.249758,0.374800,-0.889189,-0.027617,0.367573,-0.790859,-0.005656,0.369215,-0.885108,0.744147,0.336120,0.171428,0.805725,0.335113,0.274257,0.865578,0.329468,0.375918,1.008456,0.337743,0.151850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,-1.544076,0.369723,-0.740056,-1.425403,0.364313,-0.980819,-1.375062,0.364510,-0.914902,-1.330442,0.364216,-0.853362,-1.280729,0.363067,-0.787148,-0.761330,0.324708,0.749151,-0.701676,0.325382,0.755145,-0.669586,0.331109,0.997984,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.524094,0.326740,0.776607,-0.251676,0.373410,-0.887491,-0.028536,0.367634,-0.790953,-0.006677,0.368993,-0.885123,0.744070,0.336181,0.171418,0.805809,0.335261,0.274380,0.865578,0.329468,0.375918,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.375062,0.364510,-0.914902,-1.330685,0.364545,-0.853335,-1.280729,0.363067,-0.787148,-0.761341,0.324490,0.748790,-0.701676,0.325382,0.755145,-0.669488,0.330880,0.997801,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.524558,0.326430,0.776829,-0.252866,0.373216,-0.887263,-0.029954,0.368030,-0.790728,-0.007968,0.369216,-0.885387,0.744119,0.336145,0.171447,0.805809,0.335261,0.274380,0.865464,0.329128,0.375238,1.008302,0.337755,0.151765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,-1.544076,0.369723,-0.740056,-1.425403,0.364313,-0.980819,-1.375062,0.364510,-0.914902,-1.330466,0.364100,-0.853300,-1.280729,0.363067,-0.787148,-0.761472,0.324665,0.748762,-0.701713,0.325446,0.755038,-0.669586,0.331109,0.997984,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.524490,0.326584,0.776730,-0.253904,0.374351,-0.889230,-0.030668,0.367540,-0.790580,-0.009810,0.369168,-0.885289,0.744042,0.336207,0.171438,0.805712,0.335220,0.274319,0.865578,0.329468,0.375918,1.008144,0.337210,0.151625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.379018,0.364228,-0.917067,-1.330713,0.364358,-0.852656,-1.280729,0.363067,-0.787148,-0.761488,0.324735,0.749151,-0.701676,0.325382,0.755145,-0.669586,0.331109,0.997984,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.524185,0.326779,0.776341,-0.256208,0.374233,-0.886158,-0.033064,0.367862,-0.790856,-0.011686,0.368944,-0.885218,0.744119,0.336145,0.171447,0.805725,0.335113,0.274257,0.865527,0.329160,0.375137,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.379018,0.364228,-0.917067,-1.330713,0.364358,-0.852656,-1.280729,0.363067,-0.787148,-0.761526,0.324689,0.748715,-0.701713,0.325446,0.755038,-0.669716,0.331195,0.997868,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.524110,0.326706,0.776525,-0.257161,0.374758,-0.887773,-0.034710,0.368067,-0.790894,-0.013493,0.368980,-0.885271,0.744147,0.336120,0.171428,0.805618,0.335037,0.274171,0.865457,0.329196,0.375105,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
