Format Version,1.23,Take Name,Take 2024-01-17 05.50.54 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-17 05.50.54.543 PM,Capture Start Frame,13621912,Total Frames in Take,6077,Total Exported Frames,6077,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-1.553220,0.369107,-0.699938,-1.510810,0.361663,-0.963512,-1.446944,0.363058,-0.919379,-1.382568,0.364728,-0.870026,-1.317009,0.365272,-0.826380,-0.440414,0.317966,1.028474,-0.397020,0.319316,0.987036,-0.352987,0.322671,0.950353,-0.309041,0.324027,0.909844,-0.264965,0.325074,0.868603,-0.190103,0.325677,1.124566,-0.138870,0.360477,-0.297145,-0.004221,0.361089,-0.500991,0.065531,0.358095,-0.429523,0.514733,0.332418,0.409851,0.605764,0.331654,0.490403,0.692896,0.325085,0.567588,0.762867,0.338370,0.311336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,-1.553129,0.369126,-0.699878,-1.510810,0.361663,-0.963512,-1.446944,0.363058,-0.919379,-1.382568,0.364728,-0.870026,-1.317009,0.365272,-0.826380,-0.440414,0.317966,1.028474,-0.397032,0.319324,0.987022,-0.353172,0.322666,0.950302,-0.309041,0.324027,0.909844,-0.265521,0.324749,0.868594,-0.190103,0.325677,1.124566,-0.139173,0.360539,-0.296055,-0.004615,0.360104,-0.500902,0.064881,0.357894,-0.428489,0.514323,0.333961,0.411142,0.602992,0.328897,0.487853,0.691639,0.325347,0.567160,0.761551,0.337940,0.310553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,-1.553129,0.369126,-0.699878,-1.510810,0.361663,-0.963512,-1.447017,0.363277,-0.919312,-1.382568,0.364728,-0.870026,-1.317009,0.365272,-0.826380,-0.440414,0.317966,1.028474,-0.397004,0.319077,0.987213,-0.352361,0.321004,0.948310,-0.309041,0.324027,0.909844,-0.265544,0.324854,0.868384,-0.190103,0.325677,1.124566,-0.140665,0.358669,-0.293517,-0.004995,0.361121,-0.497109,0.064070,0.359444,-0.426195,0.513687,0.334132,0.410547,0.603717,0.331555,0.488977,0.690951,0.325041,0.566335,0.760224,0.338076,0.309375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,-1.553075,0.369145,-0.699935,-1.510810,0.361663,-0.963512,-1.446838,0.363276,-0.919251,-1.382568,0.364728,-0.870026,-1.316744,0.365076,-0.826301,-0.440414,0.317966,1.028474,-0.396926,0.319169,0.987212,-0.352987,0.322671,0.950353,-0.309041,0.324027,0.909844,-0.265083,0.324575,0.868649,-0.190103,0.325677,1.124566,-0.143406,0.359327,-0.295190,-0.006177,0.360771,-0.496179,0.064035,0.359848,-0.424592,0.512824,0.334199,0.409928,0.602743,0.331544,0.488342,0.692541,0.327966,0.566951,0.759879,0.338315,0.308720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,-1.553194,0.369088,-0.699882,-1.510727,0.361663,-0.963575,-1.446911,0.363388,-0.919216,-1.382568,0.364728,-0.870026,-1.317009,0.365272,-0.826380,-0.440414,0.317966,1.028474,-0.396951,0.319414,0.987023,-0.353473,0.322423,0.950422,-0.309041,0.324027,0.909844,-0.265083,0.324575,0.868649,-0.189929,0.325779,1.124432,-0.142257,0.357722,-0.291679,-0.006955,0.361047,-0.494439,0.063570,0.360274,-0.422832,0.512253,0.334457,0.409295,0.602226,0.331383,0.487753,0.691540,0.328028,0.566094,0.759064,0.338036,0.308100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,-1.553194,0.369088,-0.699882,-1.510810,0.361663,-0.963512,-1.444904,0.363830,-0.916128,-1.382568,0.364728,-0.870026,-1.316914,0.365031,-0.826233,-0.440001,0.317800,1.028333,-0.397020,0.319316,0.987036,-0.353172,0.322666,0.950302,-0.309041,0.324027,0.909844,-0.265083,0.324575,0.868649,-0.189573,0.325751,1.124807,-0.143137,0.359193,-0.288511,-0.007779,0.361095,-0.492323,0.062114,0.359048,-0.421014,0.511303,0.334217,0.408359,0.601836,0.331833,0.487043,0.690901,0.328339,0.565743,0.758679,0.338657,0.307447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,-1.553222,0.369056,-0.699860,-1.510810,0.361663,-0.963512,-1.444904,0.363830,-0.916128,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.440005,0.317706,1.028305,-0.396951,0.319414,0.987023,-0.353442,0.322563,0.950204,-0.308896,0.324188,0.909609,-0.265083,0.324575,0.868649,-0.189929,0.325779,1.124432,-0.143850,0.358847,-0.287856,-0.009031,0.360938,-0.490868,0.061458,0.359387,-0.420000,0.511144,0.334750,0.407901,0.599323,0.330075,0.484498,0.690809,0.328541,0.565570,0.757620,0.337697,0.306826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,-1.553304,0.369103,-0.699852,-1.510810,0.361663,-0.963512,-1.449402,0.364951,-0.918560,-1.382568,0.364728,-0.870026,-1.317009,0.365272,-0.826380,-0.440414,0.317966,1.028474,-0.396951,0.319414,0.987023,-0.353172,0.322666,0.950302,-0.308681,0.324264,0.909572,-0.265751,0.324633,0.868256,-0.189929,0.325779,1.124432,-0.144658,0.358778,-0.286612,-0.009094,0.360965,-0.489779,0.059716,0.358888,-0.419207,0.510412,0.334502,0.407475,0.598816,0.329464,0.484849,0.690204,0.328514,0.565108,0.757388,0.338093,0.306698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,-1.553194,0.369088,-0.699882,-1.510931,0.361632,-0.963472,-1.447016,0.363140,-0.919249,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.439524,0.317888,1.028496,-0.396951,0.319414,0.987023,-0.353172,0.322666,0.950302,-0.308858,0.324199,0.909683,-0.265405,0.324722,0.868369,-0.189929,0.325779,1.124432,-0.145451,0.358328,-0.285754,-0.010433,0.360184,-0.490683,0.059074,0.357774,-0.417946,0.509981,0.334553,0.407471,0.599726,0.331480,0.486054,0.689374,0.328518,0.564828,0.756669,0.338002,0.306494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,-1.553304,0.369103,-0.699852,-1.511083,0.361522,-0.963532,-1.449402,0.364951,-0.918560,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.439592,0.317545,1.028167,-0.396951,0.319414,0.987023,-0.352987,0.322671,0.950353,-0.308681,0.324264,0.909572,-0.265257,0.323448,0.865769,-0.189929,0.325779,1.124432,-0.146798,0.357692,-0.285737,-0.011349,0.360917,-0.488467,0.058150,0.359653,-0.417339,0.509463,0.334586,0.407286,0.597755,0.329220,0.484662,0.688289,0.327908,0.564445,0.756236,0.337700,0.306311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
