Format Version,1.23,Take Name,Take 2024-01-17 05.31.03 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-17 05.31.03.279 PM,Capture Start Frame,13502779,Total Frames in Take,6044,Total Exported Frames,6044,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034
,ID,"C3520","C3520","C3520","C3530","C3530","C3530","C3540","C3540","C3540","C3550","C3550","C3550","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35B0","C35B0","C35B0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C3600","C3600","C3600","C3610","C3610","C3610","C3620","C3620","C3620","C3970","C3970","C3970","C39E0","C39E0","C39E0","C3640","C3640","C3640","C3630","C3630","C3630","C39F0","C39F0","C39F0","C3A00","C3A00","C3A00","C3A10","C3A10","C3A10","C3A20","C3A20","C3A20","C3A50","C3A50","C3A50","C3A40","C3A40","C3A40","C3A60","C3A60","C3A60","C3A70","C3A70","C3A70","C3AC0","C3AC0","C3AC0","C3AD0","C3AD0","C3AD0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-1.028515,0.341812,0.356550,-1.009007,0.344356,0.238872,-0.988233,0.346501,0.122440,-0.773092,0.345837,0.278359,-0.424186,0.360346,-1.189017,-0.398716,0.360154,-1.242322,-0.374747,0.363612,-1.297075,-0.348996,0.365944,-1.351011,-0.324791,0.367401,-1.405928,-0.156119,0.372100,-1.197505,0.458094,0.330039,0.973391,0.593209,0.333873,0.769634,1.276608,0.346643,-0.278399,1.417023,0.329652,-0.082412,1.344571,0.332099,-0.048616,0.389250,0.333929,0.903477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,-1.026758,0.341858,0.356574,-1.006625,0.342746,0.238771,-0.987382,0.346494,0.121639,-0.771245,0.345565,0.277931,-0.424186,0.360346,-1.189017,-0.398716,0.360154,-1.242322,-0.375053,0.363532,-1.296990,-0.348996,0.365944,-1.351011,-0.324791,0.367401,-1.405928,-0.155897,0.372411,-1.197382,0.456426,0.331620,0.974287,0.591632,0.334326,0.769971,1.276608,0.346643,-0.278399,1.417023,0.329652,-0.082412,1.344571,0.332099,-0.048616,0.387833,0.333807,0.903440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,-1.025215,0.341652,0.355735,-1.006055,0.345005,0.237056,-0.985135,0.347366,0.121435,-0.769679,0.346413,0.278784,-0.424513,0.360155,-1.188896,-0.398716,0.360154,-1.242322,-0.375191,0.363602,-1.297006,-0.348996,0.365944,-1.351011,-0.324506,0.367688,-1.406033,-0.156119,0.372100,-1.197505,0.453385,0.332535,0.970987,0.589417,0.334587,0.769679,1.276585,0.346944,-0.278129,1.417023,0.329652,-0.082412,1.344571,0.332099,-0.048616,0.384967,0.333414,0.903138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,-1.023259,0.341987,0.354801,-1.004158,0.344397,0.236810,-0.983539,0.346411,0.120384,-0.767785,0.346407,0.277819,-0.424513,0.360155,-1.188896,-0.398795,0.360276,-1.242300,-0.375053,0.363532,-1.296990,-0.348996,0.365944,-1.351011,-0.324506,0.367688,-1.406033,-0.156119,0.372100,-1.197505,0.452024,0.331054,0.973548,0.587217,0.334795,0.769038,1.276534,0.346674,-0.278102,1.417023,0.329652,-0.082412,1.335673,0.335903,-0.049204,0.383403,0.334296,0.902601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,-1.021462,0.342117,0.354002,-1.001091,0.345014,0.237444,-0.982276,0.346468,0.119172,-0.766039,0.346432,0.276803,-0.424513,0.360155,-1.188896,-0.398853,0.360225,-1.242376,-0.375191,0.363602,-1.297006,-0.348996,0.365944,-1.351011,-0.324506,0.367688,-1.406033,-0.156417,0.371859,-1.197628,0.451106,0.330280,0.972058,0.585059,0.334596,0.769214,1.276491,0.347045,-0.278171,1.417023,0.329652,-0.082412,1.334716,0.336403,-0.048686,0.381164,0.333523,0.902721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,-1.019522,0.341533,0.353936,-1.000124,0.344298,0.235729,-0.980071,0.346299,0.118539,-0.764398,0.346403,0.275228,-0.424186,0.360346,-1.189017,-0.398340,0.361528,-1.243499,-0.375191,0.363602,-1.297006,-0.348996,0.365944,-1.351011,-0.324506,0.367688,-1.406033,-0.156697,0.371561,-1.197757,0.447811,0.331916,0.974078,0.582882,0.334357,0.769045,1.276470,0.346815,-0.277997,1.417023,0.329652,-0.082412,1.335673,0.335903,-0.049204,0.378554,0.333531,0.902786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
