Format Version,1.23,Take Name,Take 2023-11-15 03.26.28 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-11-15 03.26.29.642 PM,Capture Start Frame,10871836,Total Frames in Take,1759,Total Exported Frames,1759,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-1.012301,0.379274,1.274917,-0.777463,0.377755,1.157829,-0.840823,0.375885,1.412269,-0.957268,0.378303,1.318581,-0.894591,0.377662,1.368349,0.364097,0.370063,-0.053709,0.270280,0.366407,0.193064,0.117833,0.370668,0.037601,0.194376,0.368838,0.115292,0.249517,0.375530,0.955382,0.056592,0.372808,1.105103,0.019034,0.372144,1.035068,-0.351846,0.377904,2.147377,-0.291949,0.378672,2.144555,-0.249058,0.378936,1.904856,-0.243190,0.377983,2.143384,-0.132606,0.377214,2.140002,-0.193886,0.377515,2.142247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,-1.012365,0.379302,1.274918,-0.776976,0.378155,1.157283,-0.840823,0.375903,1.412145,-0.957281,0.378306,1.318553,-0.894585,0.377678,1.368289,0.364151,0.370076,-0.053619,0.270121,0.366396,0.193044,0.117822,0.370699,0.037442,0.194280,0.368818,0.115201,0.249380,0.375544,0.955104,0.056730,0.372883,1.105090,0.019005,0.372155,1.035136,-0.351883,0.377920,2.147270,-0.291949,0.378651,2.144570,-0.248963,0.378962,1.904853,-0.243169,0.377964,2.143355,-0.132656,0.377247,2.140038,-0.193750,0.376939,2.142153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,-1.012341,0.379285,1.274987,-0.777041,0.378042,1.157112,-0.840724,0.375866,1.412120,-0.957247,0.378289,1.318543,-0.894562,0.377662,1.368277,0.364072,0.370145,-0.053593,0.270115,0.366398,0.193061,0.117813,0.370676,0.037500,0.194256,0.368809,0.115231,0.249296,0.375540,0.954951,0.056608,0.372829,1.105004,0.018954,0.372152,1.035025,-0.351891,0.377923,2.147254,-0.291906,0.378745,2.144605,-0.248984,0.378975,1.904811,-0.243158,0.377974,2.143348,-0.132674,0.377226,2.140020,-0.193735,0.376984,2.142089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,-1.012285,0.379293,1.275054,-0.777049,0.378053,1.157132,-0.840637,0.375879,1.412156,-0.957205,0.378308,1.318612,-0.894467,0.377686,1.368326,0.364018,0.370069,-0.053700,0.270311,0.366392,0.193129,0.117795,0.370665,0.037723,0.194380,0.368830,0.115322,0.249370,0.375532,0.955023,0.056554,0.372804,1.104925,0.018935,0.372128,1.034894,-0.351817,0.377899,2.147390,-0.291848,0.378696,2.144647,-0.249097,0.378960,1.904832,-0.243137,0.377965,2.143358,-0.132604,0.377254,2.139910,-0.193706,0.376960,2.142108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,-1.012257,0.379261,1.275041,-0.776825,0.378113,1.157296,-0.840670,0.375858,1.412256,-0.957191,0.378296,1.318647,-0.894486,0.377672,1.368384,0.363977,0.370060,-0.053716,0.270368,0.366380,0.193127,0.117805,0.370689,0.037799,0.194415,0.368836,0.115377,0.249512,0.375518,0.955239,0.056574,0.372811,1.104978,0.019022,0.372133,1.034913,-0.351791,0.377902,2.147513,-0.291926,0.378732,2.144554,-0.249244,0.378958,1.904873,-0.243162,0.377954,2.143383,-0.132569,0.377239,2.139853,-0.193728,0.376960,2.142072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,-1.012277,0.379277,1.274986,-0.776868,0.378107,1.157420,-0.840785,0.375874,1.412292,-0.957244,0.378281,1.318628,-0.894531,0.377682,1.368372,0.364072,0.370080,-0.053664,0.270205,0.366392,0.193123,0.117787,0.370714,0.037639,0.194333,0.368839,0.115297,0.249594,0.375534,0.955347,0.056769,0.372862,1.105169,0.019132,0.372125,1.035175,-0.351825,0.377920,2.147519,-0.291954,0.378678,2.144611,-0.249177,0.378958,1.904893,-0.243218,0.377988,2.143409,-0.132593,0.377223,2.139922,-0.193689,0.376989,2.142096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,-1.012342,0.379269,1.274950,-0.777022,0.378098,1.157347,-0.840810,0.375869,1.412228,-0.957285,0.378310,1.318580,-0.894609,0.377686,1.368320,0.364121,0.370045,-0.053595,0.270059,0.366415,0.193074,0.117799,0.370705,0.037471,0.194236,0.368829,0.115227,0.249596,0.375539,0.955317,0.058599,0.373999,1.104744,0.019238,0.372188,1.035440,-0.351866,0.377903,2.147407,-0.291994,0.378687,2.144598,-0.249011,0.378958,1.904927,-0.243250,0.378008,2.143435,-0.132631,0.377226,2.140089,-0.193900,0.377492,2.142345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,-1.012388,0.379308,1.274973,-0.777073,0.378051,1.157183,-0.840800,0.375896,1.412099,-0.957284,0.378288,1.318578,-0.894556,0.377656,1.368300,0.364070,0.370071,-0.053629,0.270152,0.366396,0.193101,0.117781,0.370674,0.037554,0.194279,0.368810,0.115271,0.249522,0.375544,0.955224,0.056988,0.372840,1.105403,0.019222,0.372187,1.035498,-0.351935,0.377914,2.147360,-0.291912,0.378733,2.144668,-0.248916,0.378967,1.904922,-0.243178,0.378007,2.143421,-0.132702,0.377231,2.140141,-0.193967,0.377491,2.142377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,-1.012356,0.379315,1.275042,-0.777082,0.378057,1.157098,-0.840662,0.375891,1.412092,-0.957223,0.378298,1.318605,-0.894472,0.377664,1.368310,0.363965,0.370067,-0.053680,0.270299,0.366378,0.193160,0.117764,0.370676,0.037791,0.194360,0.368841,0.115385,0.249415,0.375566,0.955124,0.056915,0.372844,1.105284,0.019123,0.372176,1.035412,-0.351851,0.377912,2.147432,-0.291978,0.378706,2.144600,-0.249021,0.378975,1.904900,-0.243185,0.377977,2.143418,-0.132647,0.377219,2.140061,-0.193742,0.376988,2.142157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,-1.012260,0.379264,1.275090,-0.777004,0.378044,1.157194,-0.840628,0.375857,1.412203,-0.957175,0.378290,1.318653,-0.894451,0.377669,1.368363,0.363866,0.370129,-0.053627,0.270305,0.366379,0.193173,0.117756,0.370692,0.037849,0.194339,0.368812,0.115420,0.249400,0.375551,0.955051,0.056831,0.372867,1.105180,0.019096,0.372170,1.035266,-0.351746,0.377932,2.147567,-0.291909,0.378731,2.144611,-0.249222,0.378951,1.904915,-0.242720,0.378262,2.143538,-0.132556,0.377223,2.139908,-0.193865,0.377496,2.142257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
