,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020
,ID,"C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35C0","C35C0","C35C0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3610","C3610","C3610","C3620","C3620","C3620","C3630","C3630","C3630","C3640","C3640","C3640","C3650","C3650","C3650","C3660","C3660","C3660","C3670","C3670","C3670","C3680","C3680","C3680","C3690","C3690","C3690","C3710","C3710","C3710","C3730","C3730","C3730","C3740","C3740","C3740","C36C0","C36C0","C36C0","C3750","C3750","C3750"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6,0.060000,-1.118817,0.375783,0.718932,-1.009125,0.375935,0.934734,-0.945266,0.375894,0.888249,0.146629,0.362252,-0.985554,0.180298,0.361848,-0.839737,0.371279,0.375707,1.902766,0.386849,0.364255,-1.000089,0.456068,0.373210,1.653575,0.499612,0.373279,1.695442,0.534888,0.373484,1.728870,0.571630,0.372461,1.762643,0.615724,0.371578,1.804012,1.257580,0.364848,0.743422,1.256162,0.365387,0.633496,1.254426,0.364108,0.524243,1.495855,0.366394,0.630329,0.130680,0.361538,-1.054096,0.164625,0.362422,-0.907371,,,,,,,,,
7,0.070000,-1.118755,0.375782,0.718908,-1.009461,0.376256,0.934975,-0.945342,0.375876,0.888381,0.146607,0.362217,-0.985468,0.180286,0.361808,-0.839595,0.371237,0.375713,1.902705,0.386877,0.364246,-1.000011,0.456130,0.372838,1.653809,0.499596,0.373278,1.695445,0.534830,0.373481,1.728863,0.571618,0.372440,1.762627,0.615681,0.371580,1.804030,1.257651,0.364828,0.743508,1.255863,0.365043,0.633768,1.254344,0.364112,0.524332,1.495868,0.366392,0.630258,,,,0.164647,0.362441,-0.907327,,,,,,,,,
8,0.080000,-1.118780,0.375767,0.718915,-1.009470,0.376268,0.934985,-0.945394,0.375885,0.888394,0.146605,0.362219,-0.985496,0.180212,0.361819,-0.839667,0.371323,0.375702,1.902807,0.386867,0.364233,-0.999919,0.455976,0.373207,1.653538,0.499557,0.373283,1.695420,0.534816,0.373496,1.728812,0.571600,0.372434,1.762538,0.615698,0.371581,1.803892,1.257769,0.364862,0.743622,1.255898,0.365052,0.633886,1.254254,0.364097,0.524459,1.495852,0.366392,0.630143,,,,0.164562,0.362414,-0.907322,,,,,,,,,
9,0.090000,-1.118859,0.375787,0.718947,-1.009423,0.376295,0.934944,-0.945343,0.375895,0.888312,0.146632,0.362254,-0.985579,0.180156,0.361845,-0.839734,0.371458,0.375717,1.902899,0.386873,0.364231,-0.999916,0.455867,0.373210,1.653600,0.499447,0.373287,1.695426,0.534785,0.373482,1.728768,0.571599,0.372394,1.762511,0.615727,0.371573,1.803781,1.257772,0.364836,0.743631,1.255906,0.365048,0.633862,1.254276,0.364111,0.524439,1.495849,0.366373,0.630160,0.130755,0.361468,-1.054177,0.164559,0.362448,-0.907413,,,,,,,,,
10,0.100000,-1.118898,0.375790,0.718936,-1.009234,0.375945,0.934727,-0.945352,0.375887,0.888266,0.146581,0.362224,-0.985602,0.180181,0.361811,-0.839795,0.371431,0.375716,1.902909,0.386852,0.364251,-0.999998,0.455946,0.373203,1.653598,0.499541,0.373297,1.695434,0.534841,0.373480,1.728798,0.571615,0.372403,1.762556,0.615752,0.371563,1.803846,1.257667,0.364834,0.743494,1.256167,0.365396,0.633578,1.254370,0.364102,0.524306,1.495872,0.366396,0.630258,0.130722,0.361456,-1.054231,0.164543,0.362403,-0.907438,,,,,,,,,
11,0.110000,-1.118846,0.375775,0.718857,-1.009479,0.376282,0.934890,-0.945412,0.375915,0.888274,0.146590,0.362234,-0.985586,0.180276,0.361875,-0.839766,0.371325,0.375714,1.902830,0.386885,0.364255,-1.000123,0.456121,0.372863,1.653911,0.499656,0.373264,1.695491,0.534897,0.373468,1.728904,0.571639,0.372460,1.762659,0.615757,0.371575,1.804049,1.257655,0.364859,0.743462,1.255921,0.365058,0.633652,1.254407,0.364131,0.524252,1.495871,0.366386,0.630272,0.130680,0.361472,-1.054175,0.164666,0.362478,-0.907434,,,,,,,,,
12,0.120000,-1.118817,0.375775,0.718821,-1.009314,0.375946,0.934691,-0.945398,0.375910,0.888270,0.146614,0.362268,-0.985492,0.180355,0.361868,-0.839627,0.371273,0.375735,1.902780,0.386882,0.364270,-1.000109,0.456221,0.372871,1.653915,0.499705,0.373298,1.695500,0.534927,0.373516,1.728953,0.571663,0.372498,1.762696,0.615747,0.371574,1.804139,1.257716,0.364834,0.743573,1.255893,0.365064,0.633774,1.254329,0.364104,0.524375,1.495856,0.366378,0.630192,,,,0.164650,0.362438,-0.907345,,,,,,,,,
13,0.130000,-1.118856,0.375764,0.718816,-1.009254,0.375954,0.934634,-0.945352,0.375905,0.888208,0.146576,0.362223,-0.985419,0.180358,0.361857,-0.839557,0.371318,0.375706,1.902852,0.386869,0.364252,-1.000028,0.456087,0.372852,1.653887,0.499603,0.373288,1.695477,0.534876,0.373497,1.728896,0.571662,0.372456,1.762622,0.615743,0.371582,1.803997,1.257827,0.364822,0.743673,1.255928,0.365065,0.633913,1.254243,0.364095,0.524477,1.495872,0.366372,0.630093,,,,0.164635,0.362452,-0.907288,,,,,,,,,
14,0.140000,-1.118879,0.375774,0.718858,-1.009190,0.375930,0.934638,-0.945324,0.375913,0.888169,0.146598,0.362236,-0.985381,0.180408,0.361892,-0.839518,0.371468,0.375716,1.902943,0.386846,0.364259,-1.000003,0.455840,0.373204,1.653602,0.499454,0.373289,1.695436,0.534779,0.373487,1.728780,0.571591,0.372400,1.762513,0.615735,0.371598,1.803774,1.257780,0.364820,0.743618,1.255931,0.365076,0.633853,1.254285,0.364099,0.524430,1.495858,0.366377,0.630144,,,,0.164632,0.362443,-0.907233,,,,,,,,,
15,0.150000,-1.118871,0.375767,0.718854,-1.009433,0.376287,0.934848,-0.945367,0.375907,0.888231,0.146543,0.362240,-0.985344,0.180519,0.361833,-0.839501,0.371522,0.375730,1.902977,0.386854,0.364236,-1.000098,0.455705,0.373229,1.653616,0.499357,0.373275,1.695410,0.534694,0.373466,1.728713,0.571552,0.372703,1.762148,0.615647,0.371539,1.803641,1.257669,0.364869,0.743482,1.255903,0.365069,0.633700,1.254383,0.364091,0.524306,1.495877,0.366393,0.630274,,,,0.164640,0.362430,-0.907192,,,,,,,,,
