Format Version,1.23,Take Name,Take 2023-11-20 04.33.16 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-11-20 04.33.16.833 PM,Capture Start Frame,5943418,Total Frames in Take,2850,Total Exported Frames,2850,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018
,ID,"C3550","C3550","C3550","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35B0","C35B0","C35B0","C35C0","C35C0","C35C0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3610","C3610","C3610","C3620","C3620","C3620","C3630","C3630","C3630","C3640","C3640","C3640","C3650","C3650","C3650","C3660","C3660","C3660","C36A0","C36A0","C36A0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
55,0.550000,-1.136718,0.378505,2.022037,-1.063852,0.378363,2.053858,-1.005063,0.380210,1.819140,-0.921729,0.370171,-1.084996,-0.866410,0.368247,-1.129806,-0.751074,0.367502,-1.226140,-0.684043,0.372307,-0.970796,0.877195,0.369973,1.010008,1.004403,0.366863,1.240499,1.040109,0.367266,1.192049,1.069527,0.366562,1.150312,1.097538,0.366900,1.113363,1.134642,0.365885,1.064120,1.363268,0.356077,-0.589565,1.458904,0.355816,-0.643288,1.554355,0.354609,-0.697240,1.576476,0.358713,-0.434721,-0.805020,0.368329,-1.181023
55,0.550000,-1.136718,0.378505,2.022037,-1.063852,0.378363,2.053858,-1.005063,0.380210,1.819140,-0.921729,0.370171,-1.084996,-0.866410,0.368247,-1.129806,-0.751074,0.367502,-1.226140,-0.684043,0.372307,-0.970796,0.877195,0.369973,1.010008,1.004403,0.366863,1.240499,1.040109,0.367266,1.192049,1.069527,0.366562,1.150312,1.097538,0.366900,1.113363,1.134642,0.365885,1.064120,1.363268,0.356077,-0.589565,1.458904,0.355816,-0.643288,1.554355,0.354609,-0.697240,1.576476,0.358713,-0.434721,-0.805020,0.368329,-1.181023
55,0.550000,-1.136718,0.378505,2.022037,-1.063852,0.378363,2.053858,-1.005063,0.380210,1.819140,-0.921729,0.370171,-1.084996,-0.866410,0.368247,-1.129806,-0.751074,0.367502,-1.226140,-0.684043,0.372307,-0.970796,0.877195,0.369973,1.010008,1.004403,0.366863,1.240499,1.040109,0.367266,1.192049,1.069527,0.366562,1.150312,1.097538,0.366900,1.113363,1.134642,0.365885,1.064120,1.363268,0.356077,-0.589565,1.458904,0.355816,-0.643288,1.554355,0.354609,-0.697240,1.576476,0.358713,-0.434721,-0.805020,0.368329,-1.181023
55,0.550000,-1.136718,0.378505,2.022037,-1.063852,0.378363,2.053858,-1.005063,0.380210,1.819140,-0.921729,0.370171,-1.084996,-0.866410,0.368247,-1.129806,-0.751074,0.367502,-1.226140,-0.684043,0.372307,-0.970796,0.877195,0.369973,1.010008,1.004403,0.366863,1.240499,1.040109,0.367266,1.192049,1.069527,0.366562,1.150312,1.097538,0.366900,1.113363,1.134642,0.365885,1.064120,1.363268,0.356077,-0.589565,1.458904,0.355816,-0.643288,1.554355,0.354609,-0.697240,1.576476,0.358713,-0.434721,-0.805020,0.368329,-1.181023
55,0.550000,-1.136718,0.378505,2.022037,-1.063852,0.378363,2.053858,-1.005063,0.380210,1.819140,-0.921729,0.370171,-1.084996,-0.866410,0.368247,-1.129806,-0.751074,0.367502,-1.226140,-0.684043,0.372307,-0.970796,0.877195,0.369973,1.010008,1.004403,0.366863,1.240499,1.040109,0.367266,1.192049,1.069527,0.366562,1.150312,1.097538,0.366900,1.113363,1.134642,0.365885,1.064120,1.363268,0.356077,-0.589565,1.458904,0.355816,-0.643288,1.554355,0.354609,-0.697240,1.576476,0.358713,-0.434721,-0.805020,0.368329,-1.181023
55,0.550000,-1.136718,0.378505,2.022037,-1.063852,0.378363,2.053858,-1.005063,0.380210,1.819140,-0.921729,0.370171,-1.084996,-0.866410,0.368247,-1.129806,-0.751074,0.367502,-1.226140,-0.684043,0.372307,-0.970796,0.877195,0.369973,1.010008,1.004403,0.366863,1.240499,1.040109,0.367266,1.192049,1.069527,0.366562,1.150312,1.097538,0.366900,1.113363,1.134642,0.365885,1.064120,1.363268,0.356077,-0.589565,1.458904,0.355816,-0.643288,1.554355,0.354609,-0.697240,1.576476,0.358713,-0.434721,-0.805020,0.368329,-1.181023
