Format Version,1.23,Take Name,Take 2024-02-12 08.12.12 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 08.12.13.068 PM,Capture Start Frame,4242300,Total Frames in Take,6100,Total Exported Frames,6100,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-0.607891,0.341536,1.147636,-0.527645,0.339497,1.143634,-0.499630,0.350015,0.901916,-0.448130,0.336941,1.140157,-0.318017,0.360828,-0.456991,-0.368422,0.335294,1.135725,-0.289948,0.365564,-0.699458,-0.218777,0.358876,-0.465684,0.763940,0.326230,0.840974,0.872717,0.334043,0.597474,1.065571,0.338108,-0.652687,1.148961,0.342000,-0.906456,1.183045,0.335851,-0.670184,1.301467,0.332646,-0.687026,0.824106,0.325865,0.838916,0.942373,0.323519,0.834552,1.001719,0.322417,0.832770,,,,0.915807,0.369757,0.865145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,-0.607924,0.341539,1.147647,-0.527663,0.339502,1.143606,-0.499643,0.349940,0.901924,-0.448178,0.336948,1.140116,-0.317246,0.360838,-0.455631,-0.368434,0.335298,1.135729,-0.289519,0.365592,-0.698265,-0.218038,0.358808,-0.464379,0.763944,0.326230,0.840998,0.872639,0.333993,0.597487,1.065550,0.338113,-0.652691,1.148965,0.341998,-0.906462,1.183011,0.335802,-0.670228,1.301458,0.332678,-0.687032,0.824082,0.325863,0.838954,0.942256,0.323449,0.834627,1.001670,0.322394,0.832790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,-0.607914,0.341536,1.147631,-0.527672,0.339470,1.143589,-0.499682,0.350031,0.901870,-0.448207,0.336929,1.140101,-0.316696,0.360753,-0.454133,-0.368465,0.335274,1.135710,-0.288897,0.365692,-0.696779,-0.217395,0.358835,-0.463153,0.763932,0.326256,0.841000,0.872623,0.333961,0.597507,1.065257,0.338409,-0.653024,1.148962,0.342024,-0.906506,1.183029,0.335829,-0.670228,1.301461,0.332667,-0.687042,0.824066,0.325838,0.838960,0.942202,0.323392,0.834632,1.001638,0.322408,0.832799,,,,0.915779,0.369798,0.865179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,-0.607931,0.341513,1.147621,-0.527676,0.339457,1.143585,-0.499698,0.350021,0.901862,-0.448170,0.336980,1.140083,-0.316113,0.360896,-0.452948,-0.368452,0.335289,1.135682,-0.288480,0.365615,-0.695470,-0.216491,0.359152,-0.461881,0.763896,0.326257,0.841000,0.872575,0.333998,0.597487,1.065529,0.338133,-0.652715,1.148943,0.341989,-0.906488,1.183011,0.335793,-0.670241,1.301465,0.332667,-0.687027,0.824052,0.325875,0.838953,0.942176,0.323384,0.834656,1.001618,0.322396,0.832814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,-0.607928,0.341548,1.147610,-0.527667,0.339450,1.143565,-0.499647,0.349970,0.901863,-0.448183,0.336934,1.140072,-0.315574,0.360785,-0.451923,-0.368471,0.335294,1.135637,-0.287947,0.365516,-0.694382,-0.215827,0.359187,-0.460801,0.763853,0.326241,0.841013,0.872534,0.333970,0.597503,1.065546,0.338113,-0.652732,1.148953,0.342010,-0.906504,1.183007,0.335805,-0.670235,1.301471,0.332670,-0.687041,0.824030,0.325862,0.838953,0.942165,0.323420,0.834662,1.001603,0.322436,0.832834,,,,0.915747,0.369786,0.865191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,-0.607901,0.341517,1.147584,-0.527638,0.339460,1.143548,-0.499679,0.350046,0.901821,-0.448162,0.336946,1.140072,-0.314847,0.360768,-0.450704,-0.368449,0.335299,1.135647,-0.287342,0.365589,-0.693387,-0.215584,0.358928,-0.459778,0.763847,0.326242,0.840994,0.872562,0.333960,0.597503,1.065562,0.338121,-0.652714,1.148952,0.342012,-0.906505,1.182999,0.335793,-0.670241,1.301485,0.332694,-0.687045,0.823986,0.325875,0.838948,0.942134,0.323402,0.834662,1.001555,0.322408,0.832820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,-0.607862,0.341507,1.147591,-0.527633,0.339482,1.143562,-0.499671,0.350037,0.901823,-0.448160,0.336960,1.140046,-0.314239,0.360649,-0.449592,-0.368384,0.335305,1.135632,-0.286704,0.365582,-0.692216,-0.214974,0.358903,-0.458551,0.763846,0.326254,0.840973,0.872537,0.333991,0.597480,1.065547,0.338112,-0.652723,1.148965,0.341999,-0.906485,1.183033,0.335789,-0.670240,1.301485,0.332672,-0.687046,0.823977,0.325873,0.838939,0.942107,0.323419,0.834667,1.001557,0.322412,0.832810,,,,0.915754,0.369750,0.865166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,-0.607833,0.341495,1.147590,-0.527577,0.339483,1.143552,-0.499645,0.349969,0.901829,-0.448103,0.336943,1.140051,-0.313785,0.360763,-0.448488,-0.368402,0.335296,1.135635,-0.286145,0.365639,-0.691074,-0.214432,0.358975,-0.457460,0.763823,0.326249,0.840982,0.872538,0.333995,0.597459,1.065579,0.338091,-0.652711,1.148966,0.341978,-0.906507,1.183035,0.335825,-0.670253,1.301501,0.332686,-0.687054,0.823991,0.325882,0.838920,0.942048,0.323402,0.834636,1.001536,0.322400,0.832809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,-0.607820,0.341514,1.147603,-0.527569,0.339490,1.143561,-0.499607,0.349976,0.901837,-0.448091,0.336951,1.140048,-0.313465,0.360608,-0.447382,-0.368377,0.335300,1.135604,-0.285669,0.365578,-0.689934,-0.214073,0.358861,-0.456373,0.763832,0.326235,0.840933,0.872572,0.333975,0.597452,1.065641,0.338132,-0.652757,1.148994,0.341989,-0.906490,1.183040,0.335814,-0.670257,1.301507,0.332678,-0.687056,0.824297,0.325588,0.838754,0.942054,0.323397,0.834623,1.001548,0.322412,0.832804,,,,0.915291,0.370174,0.865341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,-0.607778,0.341530,1.147601,-0.527547,0.339492,1.143556,-0.499626,0.350021,0.901822,-0.448057,0.336944,1.140053,-0.313049,0.360607,-0.446133,-0.368349,0.335321,1.135595,-0.285437,0.365662,-0.688642,-0.213780,0.358794,-0.455003,0.763836,0.326272,0.840934,0.872560,0.333995,0.597446,1.065615,0.338134,-0.652718,1.149015,0.342016,-0.906521,1.183054,0.335827,-0.670264,1.301522,0.332694,-0.687073,0.824001,0.325859,0.838880,0.942051,0.323262,0.834674,1.001506,0.322362,0.832798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.160000,-0.607780,0.341519,1.147599,-0.527532,0.339494,1.143566,-0.499577,0.349949,0.901871,-0.448045,0.336927,1.140069,-0.312580,0.360596,-0.444654,-0.368345,0.335302,1.135623,-0.284575,0.364861,-0.686863,-0.213048,0.358927,-0.453502,0.763860,0.326237,0.840916,0.872625,0.333971,0.597448,1.065668,0.338127,-0.652731,1.149011,0.341986,-0.906513,1.183073,0.335814,-0.670267,1.301547,0.332684,-0.687076,0.823998,0.325861,0.838875,0.942119,0.323387,0.834572,1.001589,0.322409,0.832775,,,,0.915771,0.369810,0.865181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.170000,-0.607763,0.341518,1.147604,-0.527519,0.339488,1.143584,-0.499582,0.349981,0.901863,-0.448061,0.336943,1.140070,-0.312115,0.360518,-0.443278,-0.368331,0.335290,1.135657,-0.284815,0.365584,-0.685781,-0.212823,0.358710,-0.452157,0.763890,0.326238,0.840903,0.872640,0.334034,0.597426,1.065660,0.338078,-0.652746,1.149023,0.341998,-0.906509,1.183081,0.335832,-0.670265,1.301540,0.332681,-0.687084,0.824033,0.325873,0.838873,0.942197,0.323432,0.834581,1.001596,0.322387,0.832753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.180000,-0.607787,0.341520,1.147608,-0.527541,0.339505,1.143578,-0.499610,0.350001,0.901871,-0.448030,0.336937,1.140101,-0.311851,0.360549,-0.441812,-0.368347,0.335279,1.135696,-0.284421,0.365584,-0.684369,-0.212481,0.358764,-0.450832,0.763894,0.326227,0.840909,0.872649,0.333959,0.597428,1.065654,0.338138,-0.652748,1.149022,0.342024,-0.906495,1.183090,0.335861,-0.670229,1.301513,0.332673,-0.687058,0.824039,0.325879,0.838886,0.942190,0.323419,0.834584,1.001636,0.322400,0.832753,,,,0.915364,0.370133,0.865289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.190000,-0.607793,0.341536,1.147644,-0.527526,0.339490,1.143613,-0.499561,0.349964,0.901903,-0.448058,0.336965,1.140109,-0.311398,0.360505,-0.440458,-0.368364,0.335266,1.135715,-0.283720,0.364871,-0.682658,-0.212184,0.358785,-0.449503,0.763920,0.326228,0.840921,0.872670,0.333957,0.597440,1.065642,0.338074,-0.652713,1.149001,0.341984,-0.906485,1.183061,0.335805,-0.670243,1.301529,0.332668,-0.687055,0.824069,0.325852,0.838876,0.942340,0.323521,0.834537,1.001699,0.322417,0.832739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.200000,-0.607827,0.341516,1.147676,-0.527593,0.339490,1.143625,-0.499570,0.349936,0.901937,-0.448110,0.336951,1.140145,-0.310874,0.360491,-0.439017,-0.368388,0.335257,1.135750,-0.283919,0.365727,-0.681717,-0.211444,0.359107,-0.448272,0.763925,0.326214,0.840910,0.872728,0.334019,0.597420,1.065608,0.338132,-0.652713,1.149007,0.341978,-0.906481,1.183043,0.335833,-0.670236,1.301510,0.332675,-0.687045,0.824086,0.325849,0.838869,0.942332,0.323511,0.834528,1.001695,0.322420,0.832745,0.881646,0.323725,0.836571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.210000,-0.607872,0.341507,1.147647,-0.527622,0.339482,1.143648,-0.499571,0.349952,0.901944,-0.448105,0.336956,1.140175,-0.310387,0.360316,-0.437825,-0.368419,0.335279,1.135742,-0.283592,0.365678,-0.680499,-0.210864,0.359088,-0.446983,0.763953,0.326229,0.840918,0.872733,0.333991,0.597456,1.065597,0.338126,-0.652700,1.148982,0.341992,-0.906467,1.183029,0.335798,-0.670230,1.301495,0.332659,-0.687043,0.824073,0.325852,0.838902,0.942211,0.323382,0.834602,1.001711,0.322403,0.832751,0.881584,0.323611,0.836582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.220000,-0.607874,0.341505,1.147658,-0.527610,0.339485,1.143678,-0.499631,0.349957,0.901947,-0.448157,0.336963,1.140180,-0.310023,0.360411,-0.436759,-0.368446,0.335270,1.135761,-0.283092,0.365606,-0.679284,-0.210795,0.358896,-0.445855,0.763946,0.326247,0.840952,0.872663,0.333962,0.597474,1.065578,0.338136,-0.652692,1.148982,0.341997,-0.906460,1.183014,0.335830,-0.670223,1.301482,0.332658,-0.687028,0.824095,0.325867,0.838901,0.942395,0.323524,0.834541,1.001702,0.322409,0.832745,0.881548,0.323621,0.836579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.230000,-0.607899,0.341530,1.147660,-0.527659,0.339473,1.143664,-0.499629,0.349942,0.901950,-0.448208,0.336911,1.140175,-0.309561,0.360473,-0.435587,-0.368474,0.335276,1.135772,-0.282670,0.365510,-0.678157,-0.210295,0.358914,-0.444599,0.763943,0.326239,0.840973,0.872651,0.333960,0.597460,1.065568,0.338099,-0.652689,1.148971,0.341977,-0.906454,1.182997,0.335800,-0.670230,1.301472,0.332670,-0.687024,0.824108,0.325864,0.838925,0.942373,0.323526,0.834551,1.001680,0.322407,0.832754,0.881548,0.323623,0.836592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.240000,-0.607914,0.341531,1.147621,-0.527669,0.339463,1.143648,-0.499641,0.349968,0.901936,-0.448196,0.336941,1.140179,-0.309016,0.360449,-0.434166,-0.368489,0.335271,1.135765,-0.282020,0.365631,-0.676844,-0.209993,0.358969,-0.443336,0.763919,0.326225,0.840983,0.872629,0.333949,0.597492,1.065293,0.338388,-0.652998,1.148983,0.341996,-0.906467,1.183001,0.335796,-0.670239,1.301473,0.332672,-0.687027,0.824086,0.325844,0.838930,0.942359,0.323515,0.834555,1.001671,0.322395,0.832747,0.881531,0.323616,0.836608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.250000,-0.607919,0.341537,1.147640,-0.527676,0.339467,1.143657,-0.499641,0.349946,0.901932,-0.448179,0.336909,1.140168,-0.308490,0.360441,-0.433028,-0.368499,0.335267,1.135752,-0.281359,0.365425,-0.675463,-0.209456,0.358805,-0.441952,0.763915,0.326210,0.840980,0.872599,0.333954,0.597506,1.065576,0.338126,-0.652695,1.148951,0.342010,-0.906465,1.182992,0.335815,-0.670240,1.301451,0.332679,-0.687037,0.824049,0.325867,0.838918,0.942314,0.323467,0.834571,1.001638,0.322436,0.832769,0.881383,0.323876,0.836549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.260000,-0.607898,0.341549,1.147624,-0.527644,0.339469,1.143643,-0.499635,0.349960,0.901919,-0.448192,0.336942,1.140139,-0.308126,0.360471,-0.431766,-0.368475,0.335270,1.135744,-0.280813,0.365415,-0.674255,-0.208925,0.358879,-0.440644,0.763880,0.326222,0.840947,0.872597,0.334012,0.597469,1.065608,0.338095,-0.652719,1.148956,0.341975,-0.906483,1.183014,0.335801,-0.670241,1.301474,0.332666,-0.687048,0.824031,0.325867,0.838926,0.942171,0.323416,0.834600,1.001619,0.322428,0.832757,0.882540,0.324964,0.836605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.270000,-0.607884,0.341508,1.147629,-0.527663,0.339482,1.143619,-0.499658,0.349972,0.901916,-0.448170,0.336928,1.140134,-0.307611,0.360329,-0.430193,-0.368462,0.335276,1.135717,-0.280033,0.365365,-0.672828,-0.208245,0.358801,-0.439212,0.763871,0.326240,0.840934,0.872578,0.333974,0.597487,1.065290,0.338444,-0.653038,1.149002,0.342005,-0.906479,1.183009,0.335803,-0.670241,1.301470,0.332683,-0.687041,0.824009,0.325841,0.838910,0.942109,0.323377,0.834589,1.001573,0.322430,0.832770,0.882249,0.325130,0.836634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.280000,-0.607882,0.341540,1.147596,-0.527634,0.339482,1.143598,-0.499632,0.349980,0.901900,-0.448160,0.336941,1.140107,-0.306946,0.360306,-0.428484,-0.368458,0.335260,1.135707,-0.278984,0.364704,-0.670846,-0.207568,0.358719,-0.437601,0.763854,0.326253,0.840946,0.872555,0.333978,0.597459,1.065601,0.338116,-0.652720,1.148963,0.342020,-0.906466,1.183014,0.335812,-0.670253,1.301453,0.332684,-0.687044,0.824017,0.325870,0.838893,0.942143,0.323426,0.834607,1.001555,0.322394,0.832776,0.881309,0.323871,0.836548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.290000,-0.607819,0.341526,1.147591,-0.527587,0.339462,1.143581,-0.499627,0.349971,0.901869,-0.448140,0.336944,1.140098,-0.306300,0.360349,-0.426985,-0.368411,0.335268,1.135690,-0.278732,0.365565,-0.669621,-0.207092,0.358673,-0.436024,0.763878,0.326241,0.840955,0.872554,0.334006,0.597460,1.065591,0.338121,-0.652699,1.148998,0.341982,-0.906482,1.183042,0.335822,-0.670248,1.301475,0.332667,-0.687047,0.824317,0.325620,0.838771,0.942120,0.323421,0.834595,1.001547,0.322413,0.832764,,,,0.915761,0.369799,0.865191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
