Format Version,1.23,Take Name,Take 2024-02-12 06.48.10 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 06.48.10.939 PM,Capture Start Frame,3738059,Total Frames in Take,6263,Total Exported Frames,6263,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Active 2049,Active 2049,Active 2049,Unlabeled 1145,Unlabeled 1145,Unlabeled 1145,Unlabeled 1146,Unlabeled 1146,Unlabeled 1146,Unlabeled 1147,Unlabeled 1147,Unlabeled 1147,Unlabeled 1148,Unlabeled 1148,Unlabeled 1148,Unlabeled 1149,Unlabeled 1149,Unlabeled 1149,Unlabeled 1150,Unlabeled 1150,Unlabeled 1150,Unlabeled 1151,Unlabeled 1151,Unlabeled 1151,Unlabeled 1152,Unlabeled 1152,Unlabeled 1152,Unlabeled 1153,Unlabeled 1153,Unlabeled 1153,Unlabeled 1154,Unlabeled 1154,Unlabeled 1154,Unlabeled 1155,Unlabeled 1155,Unlabeled 1155,Unlabeled 1156,Unlabeled 1156,Unlabeled 1156,Unlabeled 1157,Unlabeled 1157,Unlabeled 1157,Unlabeled 1158,Unlabeled 1158,Unlabeled 1158,Unlabeled 1159,Unlabeled 1159,Unlabeled 1159,Unlabeled 1160,Unlabeled 1160,Unlabeled 1160,Unlabeled 1161,Unlabeled 1161,Unlabeled 1161,Unlabeled 1162,Unlabeled 1162,Unlabeled 1162,Unlabeled 1163,Unlabeled 1163,Unlabeled 1163,Unlabeled 1164,Unlabeled 1164,Unlabeled 1164,Unlabeled 1165,Unlabeled 1165,Unlabeled 1165,Unlabeled 1166,Unlabeled 1166,Unlabeled 1166,Unlabeled 1167,Unlabeled 1167,Unlabeled 1167,Unlabeled 1168,Unlabeled 1168,Unlabeled 1168,Unlabeled 1169,Unlabeled 1169,Unlabeled 1169,Unlabeled 1170,Unlabeled 1170,Unlabeled 1170,Unlabeled 1171,Unlabeled 1171,Unlabeled 1171,Unlabeled 1172,Unlabeled 1172,Unlabeled 1172,Unlabeled 1173,Unlabeled 1173,Unlabeled 1173,Unlabeled 1174,Unlabeled 1174,Unlabeled 1174,Unlabeled 1175,Unlabeled 1175,Unlabeled 1175,Unlabeled 1176,Unlabeled 1176,Unlabeled 1176,Unlabeled 1177,Unlabeled 1177,Unlabeled 1177,Unlabeled 1178,Unlabeled 1178,Unlabeled 1178,Unlabeled 1179,Unlabeled 1179,Unlabeled 1179,Unlabeled 1180,Unlabeled 1180,Unlabeled 1180
,ID,"8018D403B2A","8018D403B2A","8018D403B2A","C3F90","C3F90","C3F90","C4060","C4060","C4060","C4090","C4090","C4090","C40A0","C40A0","C40A0","C40C0","C40C0","C40C0","C4130","C4130","C4130","C4210","C4210","C4210","C4290","C4290","C4290","C4410","C4410","C4410","C4430","C4430","C4430","C4450","C4450","C4450","C4490","C4490","C4490","C44C0","C44C0","C44C0","C44E0","C44E0","C44E0","C4510","C4510","C4510","C45D0","C45D0","C45D0","C45E0","C45E0","C45E0","C45F0","C45F0","C45F0","C4630","C4630","C4630","C4640","C4640","C4640","C4650","C4650","C4650","C4660","C4660","C4660","C4610","C4610","C4610","C46A0","C46A0","C46A0","C46C0","C46C0","C46C0","C46B0","C46B0","C46B0","C4690","C4690","C4690","C46E0","C46E0","C46E0","C4700","C4700","C4700","C46F0","C46F0","C46F0","C46D0","C46D0","C46D0","C4710","C4710","C4710","C4720","C4720","C4720","C4730","C4730","C4730","C4740","C4740","C4740","C4670","C4670","C4670"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,1.020766,0.325540,0.942056,-0.569672,0.348095,1.022491,-0.460001,0.341670,1.266802,-0.699061,0.344289,1.257378,-0.579041,0.343122,1.260251,-0.948609,0.363515,-0.343788,-0.849042,0.361281,-0.350599,-0.915689,0.368274,-0.585615,0.609584,0.339294,-0.960596,0.667176,0.338153,-0.961639,0.847694,0.333231,-0.961293,0.726501,0.350139,-1.200737,0.787630,0.335762,-0.961271,0.727978,0.336434,-0.961411,0.942575,0.329802,0.932504,1.089599,0.335445,0.709202,1.100236,0.324101,0.952329,1.178967,0.321340,0.961880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,,,,1.020773,0.325572,0.942060,-0.569693,0.348107,1.022496,-0.460008,0.341668,1.266790,-0.699050,0.344305,1.257343,-0.579046,0.343163,1.260277,-0.948251,0.363536,-0.342504,-0.848487,0.361266,-0.349298,-0.915039,0.368227,-0.584318,0.609647,0.339355,-0.960606,0.667217,0.338231,-0.961631,0.847742,0.333230,-0.961298,0.726509,0.350150,-1.200730,0.787647,0.335741,-0.961278,0.728007,0.336421,-0.961443,0.941812,0.328498,0.932211,1.089568,0.335457,0.709184,1.100239,0.324158,0.952325,1.178906,0.321307,0.961886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,,,,1.020741,0.325533,0.942069,-0.569664,0.348111,1.022512,-0.460010,0.341653,1.266884,-0.699060,0.344301,1.257353,-0.579041,0.343144,1.260282,-0.947541,0.363607,-0.341176,-0.847918,0.361327,-0.347928,-0.914394,0.368253,-0.582971,0.609628,0.339288,-0.960612,0.667204,0.338170,-0.961652,0.847752,0.333232,-0.961285,0.726563,0.350163,-1.200731,0.787643,0.335683,-0.961275,0.728017,0.336436,-0.961422,0.941795,0.328490,0.932222,1.089543,0.335441,0.709203,1.100197,0.324084,0.952339,1.178919,0.321325,0.961873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,,,,1.020714,0.325549,0.942088,-0.569657,0.348069,1.022518,-0.460045,0.341653,1.266879,-0.699065,0.344298,1.257354,-0.579047,0.343174,1.260296,-0.946965,0.363633,-0.339915,-0.847450,0.361614,-0.346646,-0.913771,0.368120,-0.581722,0.609651,0.339310,-0.960591,0.667226,0.338130,-0.961654,0.847559,0.334676,-0.961720,0.726556,0.350152,-1.200726,0.787669,0.335735,-0.961280,0.727386,0.337195,-0.961464,0.941777,0.328501,0.932224,1.089525,0.335414,0.709229,1.100174,0.324137,0.952328,1.178978,0.321410,0.961866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,,,,1.020669,0.325543,0.942069,-0.569634,0.348114,1.022509,-0.460045,0.341665,1.266829,-0.699050,0.344299,1.257363,-0.579047,0.343135,1.260287,-0.946392,0.363644,-0.338665,-0.846806,0.361537,-0.345338,-0.913211,0.368015,-0.580308,0.609670,0.339301,-0.960595,0.667273,0.338185,-0.961628,0.847798,0.333247,-0.961281,0.726545,0.350145,-1.200703,0.787675,0.335703,-0.961268,0.728029,0.336419,-0.961430,0.942484,0.329801,0.932540,1.089495,0.335410,0.709219,1.100508,0.324733,0.952422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,,,,1.020684,0.325585,0.942060,-0.569661,0.348109,1.022512,-0.460074,0.341659,1.266851,-0.699076,0.344292,1.257380,-0.579074,0.343175,1.260302,-0.945735,0.363602,-0.337069,-0.846264,0.361477,-0.343909,-0.912672,0.367924,-0.578997,0.609693,0.339275,-0.960602,0.667229,0.338194,-0.961586,0.847786,0.333242,-0.961264,0.726561,0.350175,-1.200696,0.787650,0.335691,-0.961265,0.728019,0.336421,-0.961383,0.941748,0.328516,0.932229,1.089511,0.335440,0.709202,1.098871,0.321190,0.953437,1.178941,0.321386,0.961879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
