Format Version,1.23,Take Name,Take 2024-02-12 07.52.14 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 07.52.15.212 PM,Capture Start Frame,4122511,Total Frames in Take,6072,Total Exported Frames,6072,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017
,ID,"C3510","C3510","C3510","C3520","C3520","C3520","C3530","C3530","C3530","C3540","C3540","C3540","C3550","C3550","C3550","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35B0","C35B0","C35B0","C35C0","C35C0","C35C0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3610","C3610","C3610","C3620","C3620","C3620"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.837870,0.368413,-0.963733,-0.822459,0.349141,0.562701,-0.812116,0.375918,-1.206752,-0.743013,0.347354,0.556674,-0.738793,0.366831,-0.973734,-0.717951,0.356813,0.315732,-0.663032,0.343186,0.552581,-0.583678,0.340809,0.547527,0.441668,0.328763,1.147668,0.502961,0.328357,1.147340,0.562432,0.327267,1.146832,0.560725,0.337798,0.908819,0.621493,0.325942,1.147805,0.680151,0.325566,1.148268,1.134476,0.336148,-0.162920,1.218755,0.339139,-0.416596,1.251345,0.332554,-0.179796,1.370060,0.329636,-0.196289
1,0.010000,-0.837886,0.368434,-0.963736,-0.822439,0.349148,0.562675,-0.812115,0.375898,-1.206760,-0.743013,0.347307,0.556699,-0.738782,0.366817,-0.973708,-0.717959,0.356825,0.315713,-0.663050,0.343179,0.552579,-0.583688,0.340758,0.547502,0.441675,0.328788,1.147693,0.502972,0.328337,1.147364,0.562451,0.327289,1.146830,0.560724,0.337826,0.908834,0.621528,0.326000,1.147716,0.680153,0.325609,1.148278,1.134045,0.335991,-0.162682,1.218240,0.339320,-0.416349,1.250851,0.332559,-0.179645,1.369690,0.329639,-0.196190
2,0.020000,-0.837893,0.368452,-0.963744,-0.822800,0.349296,0.562415,-0.812099,0.375899,-1.206773,-0.743007,0.347311,0.556689,-0.738778,0.366808,-0.973747,-0.717937,0.356788,0.315701,-0.663020,0.343203,0.552590,-0.583676,0.340792,0.547504,0.441637,0.328769,1.147737,0.502959,0.328366,1.147388,0.562440,0.327258,1.146846,0.560692,0.337813,0.908842,0.621472,0.325940,1.147784,0.680175,0.325583,1.148288,1.133538,0.335942,-0.162421,1.217583,0.339310,-0.416144,1.250367,0.332425,-0.179586,1.369145,0.329555,-0.196142
3,0.030000,-0.837883,0.368433,-0.963746,-0.822417,0.349125,0.562666,-0.812088,0.375867,-1.206769,-0.743030,0.347344,0.556671,-0.738770,0.366812,-0.973731,-0.717942,0.356827,0.315707,-0.663026,0.343210,0.552565,-0.583679,0.340759,0.547478,0.441624,0.328788,1.147731,0.502921,0.328377,1.147398,0.562409,0.327236,1.146854,0.560681,0.337802,0.908851,0.621490,0.325930,1.147818,0.680123,0.325598,1.148300,1.133004,0.335882,-0.162324,1.216941,0.339317,-0.416010,1.249785,0.332205,-0.179527,1.368671,0.329535,-0.196068
4,0.040000,-0.837891,0.368459,-0.963742,-0.822419,0.349144,0.562647,-0.812092,0.375908,-1.206758,-0.742959,0.347325,0.556664,-0.738775,0.366837,-0.973730,-0.717926,0.356783,0.315703,-0.663005,0.343199,0.552567,-0.583672,0.340788,0.547465,0.441593,0.328773,1.147723,0.502906,0.328327,1.147395,0.562387,0.327277,1.146874,0.560661,0.337810,0.908873,0.621451,0.325946,1.147784,0.680116,0.325643,1.148314,1.132389,0.336029,-0.162267,1.216276,0.339248,-0.415923,1.249201,0.332197,-0.179412,1.368099,0.329612,-0.195944
5,0.050000,-0.837866,0.368442,-0.963742,-0.822767,0.349305,0.562344,-0.812071,0.375869,-1.206816,-0.742960,0.347309,0.556684,-0.738751,0.366812,-0.973741,-0.717920,0.356802,0.315696,-0.662984,0.343193,0.552560,-0.583615,0.340759,0.547468,0.441529,0.328758,1.147723,0.502853,0.328361,1.147353,0.562361,0.327253,1.146851,0.560603,0.337766,0.908882,0.621415,0.325972,1.147775,0.680038,0.325593,1.148328,1.131693,0.335993,-0.162285,1.215792,0.339343,-0.415799,1.248725,0.332451,-0.179191,1.367400,0.329586,-0.195843
