Format Version,1.23,Take Name,Take 2024-02-12 06.50.51 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 06.50.51.571 PM,Capture Start Frame,3754123,Total Frames in Take,6048,Total Exported Frames,6048,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,1.345838,0.321986,1.383496,1.229141,0.331702,1.143426,1.226619,0.324561,1.381614,1.107817,0.326863,1.380935,-0.607474,0.336834,1.160345,-0.687386,0.338799,1.161351,-0.847407,0.344335,1.160736,-0.726783,0.352532,0.920262,-0.766817,0.342085,1.160589,1.291980,0.339030,-0.429946,1.193208,0.342271,-0.421515,1.219835,0.344576,-0.665659,-0.432421,0.343919,-0.378351,-0.566334,0.356429,-0.609454,-0.491305,0.345236,-0.374084,-0.550395,0.346322,-0.370396,-0.610788,0.347510,-0.367261,-0.669628,0.347411,-0.362746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,1.345847,0.321954,1.383489,1.229097,0.331709,1.143400,1.226563,0.324576,1.381606,1.107854,0.326892,1.380965,-0.607477,0.336832,1.160341,-0.687381,0.338791,1.161367,-0.847391,0.344348,1.160744,-0.726753,0.352540,0.920280,-0.766790,0.342077,1.160581,1.291263,0.338799,-0.428246,1.192474,0.342216,-0.419809,1.219334,0.344521,-0.664008,-0.432376,0.343873,-0.378343,-0.566327,0.356403,-0.609463,-0.491296,0.345213,-0.374111,-0.550414,0.346316,-0.370404,-0.610640,0.347756,-0.366792,-0.669636,0.347399,-0.362775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,1.345873,0.322013,1.383471,1.229118,0.331699,1.143379,1.226596,0.324533,1.381649,1.107841,0.326869,1.380953,-0.607501,0.336847,1.160382,-0.687388,0.338796,1.161399,-0.847408,0.344322,1.160765,-0.726740,0.352523,0.920295,-0.766795,0.342098,1.160581,1.290700,0.339105,-0.426711,1.191913,0.342227,-0.418500,1.218797,0.344568,-0.662401,-0.432407,0.343876,-0.378383,-0.566322,0.356418,-0.609465,-0.491307,0.345208,-0.374089,-0.550404,0.346337,-0.370407,-0.610808,0.347493,-0.367300,-0.669644,0.347417,-0.362798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,1.345836,0.321974,1.383480,1.229135,0.331669,1.143391,1.226621,0.324560,1.381640,1.107865,0.326910,1.380994,-0.607486,0.336814,1.160401,-0.687391,0.338833,1.161390,-0.847393,0.344319,1.160775,-0.726739,0.352527,0.920311,-0.766798,0.342108,1.160611,1.289647,0.339401,-0.425564,1.191335,0.342485,-0.417147,1.218282,0.344436,-0.661106,-0.432419,0.343869,-0.378369,-0.566335,0.356399,-0.609478,-0.491328,0.345190,-0.374106,-0.550396,0.346317,-0.370434,-0.610659,0.347798,-0.366843,-0.669633,0.347387,-0.362821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,1.345872,0.321987,1.383458,1.229155,0.331717,1.143418,1.226646,0.324571,1.381640,1.107887,0.326891,1.380944,-0.607477,0.336850,1.160427,-0.687400,0.338801,1.161438,-0.847415,0.344331,1.160784,-0.726710,0.352520,0.920325,-0.766789,0.342118,1.160619,1.289028,0.339242,-0.424282,1.190706,0.342538,-0.415707,1.217748,0.344376,-0.659898,-0.432473,0.343851,-0.378461,-0.566349,0.356401,-0.609510,-0.491284,0.345194,-0.374095,-0.550387,0.346268,-0.370468,-0.609737,0.346633,-0.366751,-0.669718,0.348217,-0.363039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,1.345866,0.321988,1.383482,1.229142,0.331648,1.143391,1.226659,0.324575,1.381627,1.107890,0.326875,1.380935,-0.607500,0.336845,1.160456,-0.687434,0.338826,1.161460,-0.847415,0.344303,1.160791,-0.726719,0.352548,0.920343,-0.766814,0.342128,1.160635,1.288570,0.339216,-0.422967,1.190173,0.342462,-0.414378,1.216813,0.344804,-0.658692,-0.432407,0.343867,-0.378410,-0.566301,0.356412,-0.609528,-0.491283,0.345177,-0.374121,-0.550335,0.346240,-0.370491,-0.610630,0.347788,-0.366865,-0.669599,0.347397,-0.362839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,1.345880,0.321996,1.383498,1.229146,0.331654,1.143385,1.226685,0.324573,1.381642,1.107950,0.326917,1.380950,-0.607532,0.336835,1.160456,-0.687439,0.338780,1.161492,-0.847437,0.344340,1.160797,-0.726732,0.352538,0.920356,-0.766818,0.342122,1.160647,1.288281,0.339335,-0.421674,1.189899,0.342376,-0.413143,1.216217,0.344689,-0.657441,-0.432348,0.343962,-0.378420,-0.566295,0.356406,-0.609525,-0.491257,0.345193,-0.374132,-0.550401,0.346324,-0.370448,-0.607821,0.345811,-0.367389,-0.669694,0.348259,-0.363054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,1.345849,0.321941,1.383479,1.229172,0.331676,1.143415,1.226672,0.324556,1.381673,1.107935,0.326904,1.380975,-0.607514,0.336858,1.160519,-0.687441,0.338797,1.161497,-0.847475,0.344345,1.160802,-0.726741,0.352520,0.920370,-0.766848,0.342096,1.160639,1.287915,0.339503,-0.420248,1.189577,0.342601,-0.411756,1.216127,0.343943,-0.656019,-0.432338,0.343877,-0.378410,-0.566268,0.356396,-0.609530,-0.491259,0.345208,-0.374126,-0.550307,0.346256,-0.370497,-0.610522,0.347714,-0.366854,-0.669548,0.347430,-0.362854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,1.345888,0.321969,1.383521,1.229156,0.331715,1.143432,1.226656,0.324513,1.381615,1.107921,0.326911,1.381004,-0.607534,0.336877,1.160460,-0.687518,0.338806,1.161486,-0.847520,0.344316,1.160822,-0.726812,0.352538,0.920363,-0.766868,0.342088,1.160655,1.287419,0.339564,-0.418572,1.188557,0.342751,-0.410029,1.215374,0.343979,-0.654379,-0.432209,0.344392,-0.378086,-0.566230,0.356402,-0.609527,-0.491207,0.345173,-0.374140,-0.550295,0.346262,-0.370487,-0.610509,0.347690,-0.366839,-0.669555,0.347444,-0.362852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,1.345849,0.321972,1.383497,1.229184,0.331687,1.143509,1.226664,0.324570,1.381681,1.107898,0.326887,1.381000,-0.607580,0.336842,1.160455,-0.687512,0.338804,1.161465,-0.847527,0.344328,1.160768,-0.726795,0.352525,0.920321,-0.766900,0.342109,1.160623,1.286650,0.339410,-0.416999,1.188225,0.342493,-0.408291,1.213971,0.344674,-0.652546,-0.432276,0.343956,-0.378436,-0.566233,0.356389,-0.609524,-0.491207,0.345190,-0.374118,-0.550298,0.346261,-0.370488,-0.610505,0.347728,-0.366823,-0.669526,0.347422,-0.362832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
