Format Version,1.23,Take Name,Take 2024-02-12 07.55.11 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 07.55.11.621 PM,Capture Start Frame,4140152,Total Frames in Take,6045,Total Exported Frames,6045,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,,,,-0.580056,0.368138,-0.787574,-0.546347,0.361098,-0.545582,-0.570659,0.342534,0.831489,-0.490602,0.340981,0.830903,-0.645467,0.361499,-0.552775,-0.451591,0.351920,0.591073,-0.410931,0.338181,0.831348,-0.331411,0.336144,0.831153,1.037304,0.333557,0.314652,1.098360,0.337965,-0.583254,1.216682,0.340463,-0.822622,1.217713,0.334433,-0.583415,1.337480,0.331434,-0.583823,0.909581,0.325104,0.548412,1.146225,0.322279,0.559769,0.969190,0.324461,0.551238,1.087482,0.323205,0.556697,1.027512,0.324320,0.553864,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,,,,-0.580098,0.368032,-0.786533,-0.546372,0.360387,-0.544509,-0.570646,0.342553,0.831471,-0.490625,0.340976,0.830916,-0.645483,0.361510,-0.551560,-0.451565,0.351924,0.591087,-0.410962,0.338185,0.831337,-0.331471,0.336144,0.831175,1.037284,0.333531,0.314655,1.098131,0.338077,-0.581978,1.216373,0.340398,-0.821258,1.217272,0.334191,-0.582180,1.337019,0.331368,-0.582593,0.909570,0.325124,0.548434,1.146235,0.322332,0.559793,0.969208,0.324478,0.551178,1.087476,0.323207,0.556705,1.027501,0.324384,0.553877,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,,,,-0.580275,0.368080,-0.785159,-0.545788,0.360232,-0.543149,-0.570679,0.342566,0.831476,-0.490634,0.341009,0.830939,-0.645741,0.361898,-0.550314,-0.451569,0.351934,0.591102,-0.410967,0.338195,0.831351,-0.331463,0.336117,0.831206,1.037266,0.333541,0.314668,1.097871,0.338002,-0.580567,1.215915,0.340364,-0.820042,1.216988,0.334108,-0.580945,1.336408,0.331589,-0.581648,0.909525,0.325095,0.548420,1.146178,0.322278,0.559793,0.969185,0.324461,0.551205,1.087428,0.323203,0.556706,1.027477,0.324359,0.553877,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,,,,-0.580192,0.368246,-0.783731,-0.545928,0.360291,-0.541524,-0.570695,0.342547,0.831492,-0.490643,0.341024,0.830960,-0.645769,0.361923,-0.548992,-0.451578,0.351934,0.591118,-0.410985,0.338180,0.831395,-0.331486,0.336119,0.831210,1.037249,0.333542,0.314639,1.097504,0.337763,-0.579195,1.215482,0.340294,-0.818853,1.216738,0.333983,-0.579664,1.336104,0.331596,-0.580520,0.909519,0.325138,0.548420,1.146155,0.322290,0.559786,0.969165,0.324443,0.551188,1.087408,0.323185,0.556692,1.028396,0.323549,0.553705,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,,,,-0.579953,0.368198,-0.782324,-0.546285,0.360980,-0.540343,-0.570717,0.342553,0.831481,-0.490672,0.341009,0.830998,-0.645620,0.361928,-0.547516,-0.451575,0.351925,0.591122,-0.411011,0.338195,0.831382,-0.331516,0.336116,0.831233,1.037240,0.333544,0.314655,1.097105,0.337643,-0.577756,1.214809,0.340319,-0.817483,1.216616,0.334291,-0.578314,1.335819,0.331624,-0.579344,0.909499,0.325096,0.548390,1.146122,0.322304,0.559788,0.969142,0.324470,0.551181,1.087418,0.323228,0.556686,1.028326,0.323536,0.553681,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,,,,-0.579611,0.368122,-0.780730,-0.546103,0.360512,-0.538710,-0.570741,0.342565,0.831485,-0.490717,0.340978,0.830967,-0.645498,0.361798,-0.546026,-0.451606,0.351936,0.591125,-0.411059,0.338186,0.831389,-0.331538,0.336124,0.831249,1.037231,0.333543,0.314639,1.096883,0.337853,-0.576227,1.214059,0.340213,-0.816101,1.216159,0.334250,-0.576972,1.335893,0.331470,-0.577963,0.909481,0.325119,0.548391,1.146118,0.322303,0.559775,0.969145,0.324479,0.551152,1.087434,0.323247,0.556672,1.028326,0.323555,0.553664,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,,,,-0.579088,0.368074,-0.779395,-0.545871,0.360502,-0.537415,-0.570765,0.342519,0.831490,-0.490714,0.340991,0.830988,-0.645190,0.361787,-0.544737,-0.451623,0.351920,0.591114,-0.411076,0.338172,0.831398,-0.331566,0.336122,0.831241,1.037219,0.333534,0.314634,1.096583,0.337828,-0.574936,1.213748,0.340286,-0.814914,1.215664,0.334133,-0.575523,1.335240,0.331751,-0.576764,0.909467,0.325104,0.548341,1.146109,0.322279,0.559759,0.969137,0.324465,0.551138,1.087414,0.323227,0.556668,1.027408,0.324354,0.553840,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,,,,-0.578721,0.368189,-0.777954,-0.545744,0.360538,-0.536031,-0.570792,0.342573,0.831489,-0.490743,0.341003,0.830950,-0.644889,0.361835,-0.543498,-0.451646,0.351931,0.591098,-0.411094,0.338196,0.831391,-0.331584,0.336156,0.831232,1.037221,0.333539,0.314605,1.096211,0.337993,-0.573659,1.213523,0.340212,-0.813532,1.215264,0.334228,-0.574359,1.335127,0.331486,-0.575290,0.909517,0.325124,0.548360,1.146143,0.322293,0.559737,0.969173,0.324476,0.551150,1.087429,0.323247,0.556641,1.027445,0.324393,0.553824,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,,,,-0.577927,0.368245,-0.776253,-0.545082,0.360735,-0.534635,-0.570773,0.342557,0.831461,-0.490764,0.340987,0.830920,-0.644517,0.361792,-0.542193,-0.451669,0.351932,0.591100,-0.411085,0.338177,0.831383,-0.331593,0.336121,0.831216,1.037248,0.333539,0.314590,1.095823,0.337957,-0.572600,1.213449,0.340261,-0.812329,1.215012,0.334291,-0.573330,1.334754,0.331423,-0.573877,0.909512,0.325081,0.548372,1.146387,0.322431,0.559677,0.969131,0.324469,0.551136,1.087407,0.323213,0.556639,1.027477,0.324398,0.553800,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,,,,-0.577788,0.368413,-0.775299,-0.544657,0.360650,-0.533330,-0.570793,0.342538,0.831458,-0.490734,0.340986,0.830928,-0.644159,0.361832,-0.540794,-0.451666,0.351923,0.591068,-0.411093,0.338181,0.831359,-0.331580,0.336128,0.831202,1.037253,0.333526,0.314582,1.095270,0.337834,-0.571639,1.211521,0.340627,-0.812277,1.214692,0.334428,-0.572288,1.334365,0.331377,-0.572692,0.909519,0.325102,0.548320,1.146423,0.322450,0.559667,0.969193,0.324479,0.551119,1.087432,0.323198,0.556614,1.027462,0.324369,0.553789,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.160000,,,,-0.577819,0.368356,-0.774024,-0.544781,0.360608,-0.532043,-0.570737,0.342553,0.831443,-0.490726,0.340990,0.830895,-0.643940,0.361807,-0.539325,-0.451761,0.351965,0.591199,-0.411071,0.338192,0.831324,-0.331554,0.336139,0.831169,1.037290,0.333544,0.314573,1.094881,0.337839,-0.570667,1.213104,0.340369,-0.809968,1.214179,0.334458,-0.570873,1.333947,0.331620,-0.571343,0.909557,0.325102,0.548332,1.146446,0.322469,0.559663,0.969187,0.324464,0.551112,1.087460,0.323218,0.556614,1.027505,0.324392,0.553796,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.170000,,,,-0.577775,0.368190,-0.772767,-0.544519,0.360550,-0.530723,-0.570740,0.342549,0.831459,-0.490701,0.340982,0.830911,-0.643681,0.361762,-0.537952,-0.451660,0.351914,0.591037,-0.411024,0.338175,0.831321,-0.331536,0.336138,0.831154,1.037323,0.333531,0.314571,1.094501,0.337963,-0.569491,1.212871,0.340365,-0.808752,1.213602,0.334404,-0.569422,1.333414,0.331444,-0.569804,0.909567,0.325114,0.548292,1.146443,0.322428,0.559644,0.969202,0.324480,0.551106,1.087498,0.323228,0.556623,1.027535,0.324416,0.553784,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.180000,,,,-0.577595,0.367913,-0.770983,-0.544026,0.360619,-0.529334,-0.570714,0.342562,0.831447,-0.490680,0.340954,0.830901,-0.643478,0.361887,-0.536523,-0.451624,0.351923,0.591041,-0.411024,0.338208,0.831305,-0.331490,0.336134,0.831137,1.037339,0.333548,0.314569,1.094400,0.337864,-0.568027,1.212632,0.340231,-0.807461,1.213211,0.334482,-0.568161,1.333056,0.331611,-0.568427,0.909577,0.325081,0.548295,1.146486,0.322452,0.559662,0.969216,0.324461,0.551106,1.087522,0.323243,0.556621,1.027515,0.324408,0.553779,,,,,,,,,,,,,,,,,,,,,,,,,,,
