Format Version,1.23,Take Name,Take 2024-02-12 08.01.40 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 08.01.40.441 PM,Capture Start Frame,4179033,Total Frames in Take,4420,Total Exported Frames,4420,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1074,Unlabeled 1074,Unlabeled 1074,Unlabeled 1075,Unlabeled 1075,Unlabeled 1075,Unlabeled 1076,Unlabeled 1076,Unlabeled 1076,Unlabeled 1077,Unlabeled 1077,Unlabeled 1077,Unlabeled 1078,Unlabeled 1078,Unlabeled 1078,Unlabeled 1079,Unlabeled 1079,Unlabeled 1079,Unlabeled 1080,Unlabeled 1080,Unlabeled 1080,Unlabeled 1081,Unlabeled 1081,Unlabeled 1081,Unlabeled 1082,Unlabeled 1082,Unlabeled 1082,Unlabeled 1083,Unlabeled 1083,Unlabeled 1083,Unlabeled 1084,Unlabeled 1084,Unlabeled 1084,Unlabeled 1085,Unlabeled 1085,Unlabeled 1085,Unlabeled 1086,Unlabeled 1086,Unlabeled 1086,Unlabeled 1087,Unlabeled 1087,Unlabeled 1087,Unlabeled 1088,Unlabeled 1088,Unlabeled 1088,Unlabeled 1089,Unlabeled 1089,Unlabeled 1089,Unlabeled 1090,Unlabeled 1090,Unlabeled 1090,Unlabeled 1091,Unlabeled 1091,Unlabeled 1091,Unlabeled 1092,Unlabeled 1092,Unlabeled 1092,Unlabeled 1095,Unlabeled 1095,Unlabeled 1095,Unlabeled 1096,Unlabeled 1096,Unlabeled 1096,Unlabeled 1099,Unlabeled 1099,Unlabeled 1099,Unlabeled 1100,Unlabeled 1100,Unlabeled 1100
,ID,"C3520","C3520","C3520","C3530","C3530","C3530","C3540","C3540","C3540","C3560","C3560","C3560","C3570","C3570","C3570","C35B0","C35B0","C35B0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C3860","C3860","C3860","C3950","C3950","C3950","C3980","C3980","C3980","C3990","C3990","C3990","C39C0","C39C0","C39C0","C39E0","C39E0","C39E0","C3A20","C3A20","C3A20","C3A30","C3A30","C3A30","C3A40","C3A40","C3A40","C3A50","C3A50","C3A50","C3A70","C3A70","C3A70","C3AB0","C3AB0","C3AB0","C3AC0","C3AC0","C3AC0","C3AF0","C3AF0","C3AF0","C3B10","C3B10","C3B10"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.664248,0.343881,0.895597,-0.585581,0.341822,0.879223,-0.593723,0.353397,0.636875,-0.506973,0.338500,0.864616,-0.429905,0.337003,0.848528,1.162583,0.342747,-0.619036,1.206433,0.347079,-0.860090,1.261704,0.339339,-0.620251,1.052647,0.331171,0.683540,-0.379346,0.353646,-0.701058,-0.536847,0.362708,-0.916911,-0.615403,0.356808,-0.661926,-0.497103,0.354965,-0.681697,0.921146,0.324706,0.892171,1.090430,0.321928,0.948852,1.034000,0.322501,0.929619,0.978082,0.323656,0.910656,0.864400,0.325103,0.872965,,,,,,,,,,,,,,,
1,0.010000,-0.664255,0.343864,0.895609,-0.585389,0.341719,0.879451,-0.593462,0.353425,0.637072,-0.507011,0.338511,0.864617,-0.429936,0.337004,0.848549,1.162599,0.342699,-0.618267,1.206307,0.347125,-0.859514,1.261591,0.339306,-0.619401,1.052672,0.331193,0.683548,-0.379340,0.353661,-0.701043,-0.536858,0.362688,-0.916912,-0.614802,0.356097,-0.661974,-0.497057,0.354993,-0.681689,0.921225,0.324721,0.892189,1.090460,0.321906,0.948839,1.034029,0.322534,0.929628,0.978051,0.323583,0.910609,0.864411,0.325095,0.872976,,,,,,,,,,,,,,,
2,0.020000,-0.664281,0.343870,0.895611,-0.585423,0.341728,0.879449,-0.593494,0.353431,0.637055,-0.507030,0.338494,0.864612,-0.429948,0.337014,0.848531,1.162503,0.342472,-0.617245,1.206083,0.347109,-0.858664,1.261572,0.339308,-0.618705,1.052679,0.331187,0.683527,-0.379345,0.353652,-0.701040,-0.536834,0.362722,-0.916911,-0.615386,0.356810,-0.661941,-0.497068,0.354964,-0.681676,0.921247,0.324685,0.892194,1.090492,0.321953,0.948852,1.034038,0.322499,0.929619,0.978076,0.323565,0.910606,0.864436,0.325091,0.872983,,,,,,,,,,,,,,,
3,0.030000,-0.664327,0.343891,0.895585,-0.585440,0.341749,0.879424,-0.593497,0.353426,0.637036,-0.507047,0.338492,0.864615,-0.429995,0.336998,0.848549,1.162455,0.342465,-0.616449,1.205960,0.347104,-0.857819,1.261521,0.339284,-0.617923,1.052703,0.331183,0.683539,-0.379357,0.353672,-0.701030,-0.536859,0.362705,-0.916918,-0.614827,0.356127,-0.661975,-0.497079,0.354970,-0.681682,0.921225,0.324701,0.892187,1.090484,0.321924,0.948860,1.034029,0.322488,0.929637,0.978091,0.323556,0.910615,0.864422,0.325074,0.872987,,,,,,,,,,,,,,,
4,0.040000,-0.664320,0.343881,0.895611,-0.585433,0.341751,0.879434,-0.593500,0.353412,0.637026,-0.507061,0.338470,0.864609,-0.429998,0.337003,0.848542,1.162403,0.342509,-0.615597,1.205940,0.347154,-0.857093,1.261487,0.339249,-0.617106,1.052695,0.331165,0.683560,-0.379344,0.353648,-0.701026,-0.536836,0.362692,-0.916897,-0.614826,0.356113,-0.661963,-0.497061,0.354987,-0.681666,0.921249,0.324682,0.892181,1.090502,0.321959,0.948864,1.034061,0.322541,0.929638,0.978096,0.323554,0.910611,0.864444,0.325079,0.872971,,,,,,,,,,,,,,,
5,0.050000,-0.664326,0.343885,0.895568,-0.585425,0.341742,0.879416,-0.593780,0.353386,0.636847,-0.507051,0.338498,0.864584,-0.429972,0.337021,0.848497,1.162384,0.342472,-0.614636,1.206017,0.346973,-0.856223,1.261572,0.339433,-0.616063,1.052722,0.331183,0.683569,-0.379366,0.353641,-0.701020,-0.536873,0.362698,-0.916875,-0.615404,0.356800,-0.661911,-0.497068,0.354963,-0.681668,0.921267,0.324707,0.892181,1.090503,0.321941,0.948885,1.034039,0.322503,0.929646,0.978132,0.323642,0.910675,0.864442,0.325085,0.872968,,,,,,,,,,,,,,,
