Format Version,1.23,Take Name,Take 2024-02-12 06.35.34 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 06.35.34.960 PM,Capture Start Frame,3662457,Total Frames in Take,6263,Total Exported Frames,6263,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,1.034042,0.331650,0.886582,-0.999784,0.362137,-0.709285,-0.895261,0.367160,-0.954907,-0.879862,0.358940,-0.716723,-0.761143,0.356718,-0.723647,-0.616326,0.341471,1.081238,-0.536061,0.339716,1.081619,-0.494193,0.350707,0.841694,-0.456594,0.337224,1.083010,-0.376835,0.335322,1.082730,0.592704,0.348910,-0.407155,0.646667,0.353041,-0.645714,0.691672,0.347021,-0.405748,0.935214,0.323680,1.134096,1.052483,0.321802,1.123914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,1.034028,0.331624,0.886543,-0.999783,0.362150,-0.709281,-0.895254,0.367164,-0.954897,-0.879850,0.358941,-0.716730,-0.761330,0.357107,-0.723844,-0.616331,0.341488,1.081250,-0.536087,0.339724,1.081638,-0.494195,0.350706,0.841702,-0.456576,0.337237,1.083003,-0.376854,0.335301,1.082762,0.591830,0.349283,-0.405752,0.645843,0.353157,-0.643932,0.690642,0.346671,-0.403936,0.935229,0.323711,1.134127,1.052534,0.321859,1.123995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,1.034078,0.331634,0.886560,-0.999753,0.362133,-0.709288,-0.895225,0.367137,-0.954901,-0.879803,0.358911,-0.716726,-0.761312,0.357104,-0.723831,-0.616298,0.341478,1.081257,-0.536016,0.339736,1.081624,-0.494211,0.350704,0.841730,-0.456579,0.337227,1.083042,-0.376947,0.335324,1.083048,0.590689,0.349030,-0.404031,0.645153,0.352994,-0.642153,0.689649,0.346589,-0.402255,0.935273,0.323693,1.134125,1.052555,0.321847,1.123996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,1.034098,0.331683,0.886564,-0.999754,0.362155,-0.709284,-0.895208,0.367154,-0.954900,-0.879968,0.359195,-0.716828,-0.761274,0.357107,-0.723828,-0.616348,0.341462,1.081251,-0.536089,0.339705,1.081650,-0.494224,0.350707,0.841728,-0.456595,0.337227,1.083030,-0.376874,0.335313,1.082789,0.590023,0.349117,-0.402568,0.644708,0.352097,-0.640152,0.689246,0.346449,-0.400663,0.935304,0.323696,1.134146,1.052584,0.321861,1.123976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,1.034073,0.331686,0.886611,-0.999757,0.362144,-0.709274,-0.895211,0.367196,-0.954924,-0.879827,0.358954,-0.716720,-0.761295,0.357102,-0.723820,-0.616393,0.341503,1.081253,-0.536108,0.339720,1.081642,-0.494224,0.350708,0.841729,-0.456616,0.337219,1.083037,-0.376896,0.335282,1.082806,0.589323,0.349236,-0.401197,0.643983,0.352188,-0.638598,0.688564,0.346462,-0.398926,0.935304,0.323700,1.134184,1.052575,0.321808,1.124002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,1.033998,0.331637,0.886644,-0.999758,0.362141,-0.709268,-0.895210,0.367167,-0.954896,-0.879816,0.358939,-0.716684,-0.761338,0.357076,-0.723805,-0.616392,0.341470,1.081257,-0.536126,0.339708,1.081661,-0.494222,0.350694,0.841738,-0.456652,0.337251,1.083033,-0.376910,0.335303,1.082812,0.588593,0.349156,-0.399508,0.643079,0.352985,-0.637810,0.687881,0.346506,-0.397518,0.935336,0.323693,1.134224,1.052602,0.321854,1.124055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,1.033989,0.331656,0.886662,-0.999763,0.362151,-0.709278,-0.895260,0.367113,-0.954923,-0.879832,0.358939,-0.716707,-0.761097,0.356727,-0.723702,-0.616417,0.341488,1.081249,-0.536176,0.339696,1.081641,-0.494269,0.350714,0.841732,-0.456648,0.337230,1.083032,-0.377019,0.335339,1.083064,0.587693,0.349124,-0.398192,0.642527,0.352223,-0.635745,0.687185,0.346474,-0.396267,0.935280,0.323690,1.134262,1.052595,0.321852,1.124048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,1.033976,0.331665,0.886698,-0.999771,0.362161,-0.709274,-0.895238,0.367192,-0.954925,-0.880005,0.359217,-0.716820,-0.761312,0.357098,-0.723820,-0.616415,0.341497,1.081246,-0.536225,0.339769,1.081508,-0.494264,0.350699,0.841736,-0.456655,0.337235,1.083008,-0.377038,0.335329,1.083055,0.587194,0.349095,-0.397019,0.641915,0.352173,-0.634486,0.686505,0.346520,-0.394923,0.935265,0.323702,1.134270,1.052545,0.321825,1.124063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,1.033940,0.331686,0.886699,-0.999793,0.362157,-0.709271,-0.895208,0.367113,-0.954807,-0.879869,0.358958,-0.716721,-0.761161,0.356736,-0.723631,-0.616423,0.341477,1.081208,-0.536251,0.339763,1.081502,-0.494293,0.350707,0.841698,-0.456673,0.337236,1.082987,-0.377042,0.335316,1.083050,0.587395,0.349250,-0.395898,0.641018,0.353209,-0.633746,0.685569,0.346794,-0.393648,0.935256,0.323674,1.134296,1.052531,0.321845,1.124065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,1.033934,0.331695,0.886704,-0.999805,0.362146,-0.709289,-0.895275,0.367196,-0.954910,-0.879874,0.358940,-0.716738,-0.761374,0.357080,-0.723805,-0.616448,0.341487,1.081214,-0.536226,0.339764,1.081518,-0.494284,0.350664,0.841691,-0.456666,0.337229,1.082999,-0.376960,0.335306,1.082786,0.586148,0.349201,-0.394201,0.640287,0.353165,-0.632486,0.685001,0.346711,-0.392469,0.935200,0.323697,1.134249,1.052502,0.321831,1.124054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
